id,company_name,broad_sector,market_cap_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,free_cash_flow,roe,roce,fcf_yield,pe_ratio_sector,pb_ratio_sector,ev_ebitda_sector,valuation_flag
ABB,Abbott India Ltd,Industrials,1536236.24,75.58,4.48,12.63,0.96,797.0,32.46823465801568,36.541512427287145,0.05,47.155,7.45,22.365000000000002,Fairly Valued
ADANIENSOL,Adani Energy Solutions Ltd,Energy,348517.36,58.5,9.05,14.83,1.65,1095.0,9.461276797721698,7.915753052644284,0.31,44.915,6.0,24.86,Fairly Valued
ADANIENT,Adani Enterprises Ltd,Industrials,187927.97,58.87,10.41,33.01,0.83,-8455.0,8.534650424813185,7.984787232004292,-4.5,47.155,7.45,22.365000000000002,Overvalued
ADANIGREEN,Adani Green Energy Ltd,Energy,510512.78,45.26,6.24,21.78,0.89,-13347.0,12.81269066503966,7.249772398650458,-2.61,44.915,6.0,24.86,Fairly Valued
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,675598.01,48.9,2.31,31.76,1.16,8250.0,15.3548827162833,11.44374462092168,1.22,47.155,7.45,22.365000000000002,Fairly Valued
ADANIPOWER,Adani Power Ltd,Energy,1372183.55,44.57,9.91,24.76,1.65,17651.0,48.27674122146251,18.385823227581948,1.29,44.915,6.0,24.86,Fairly Valued
AMBUJACEM,Ambuja Cements Ltd,Materials,1281411.04,55.62,9.21,27.67,3.1,-3295.0,11.428984947896565,11.33198908788993,-0.26,55.62,9.21,26.58,Fairly Valued
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,1905622.43,47.72,7.68,16.74,3.22,383.0,13.480392156862743,13.913114353248025,0.02,47.06,7.195,24.67,Fairly Valued
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2126725.18,73.37,3.9,23.94,2.42,3556.0,29.677488252883386,31.75172153570418,0.17,55.62,9.21,26.58,Fairly Valued
ATGL,Adani Total Gas Ltd,Energy,1535602.41,56.96,5.76,28.93,0.51,203.0,18.65921787709497,18.41541755888651,0.01,44.915,6.0,24.86,Fairly Valued
AXISBANK,Axis Bank Ltd,Financials,948868.63,38.14,4.66,16.87,2.32,-14556.0,15.832712405189048,2.5207167817120824,-1.53,33.57,7.225,24.325,Fairly Valued
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,653817.3,29.91,9.83,20.14,3.59,6486.0,26.61418410330778,27.207358942799765,0.99,38.005,8.065,26.455,Fairly Valued
BAJAJFINSV,Bajaj Finserv Ltd,Financials,1905112.17,15.07,6.08,39.72,2.56,-79634.0,25.850351412279537,11.44874463510097,-4.18,33.57,7.225,24.325,Fairly Valued
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,2191568.13,37.73,9.38,27.47,3.37,1469.0,13.576787656460263,2.8134781808138465,0.07,33.57,7.225,24.325,Overvalued
BAJFINANCE,Bajaj Finance Ltd,Financials,2473271.58,69.2,4.11,15.96,0.27,-79931.0,18.841921351830603,4.166013587646808,-3.23,33.57,7.225,24.325,Fairly Valued
BANKBARODA,Bank of Baroda,Financials,590971.02,16.89,4.15,24.7,2.62,-7559.0,15.761863790899902,2.712278690337432,-1.28,33.57,7.225,24.325,Fairly Valued
BEL,Bharat Electronics Ltd,Industrials,1354781.06,17.89,9.22,23.14,0.76,-1265.0,4744.047619047619,3628.346456692913,-0.09,47.155,7.45,22.365000000000002,Fairly Valued
BHARTIARTL,Bharti Airtel Ltd,Communication Services,378605.83,63.78,6.28,39.71,1.02,27809.0,10.35839213740181,12.995496477326457,7.35,48.33,7.305,25.79,Fairly Valued
BHEL,"Bharat Heavy Electricals Limited
",Industrials,540053.85,29.8,11.43,21.59,4.04,-2382.0,1.1539405843358703,1.3876374121463328,-0.44,47.155,7.45,22.365000000000002,Fairly Valued
BOSCHLTD,Bosch Ltd,Consumer Discretionary,2599556.05,58.43,6.47,16.07,4.23,1536.0,20.639920424403183,13.756919771957364,0.06,38.005,8.065,26.455,Fairly Valued
BPCL,Bharat Petroleum Corporation Ltd,Energy,468662.13,68.15,0.72,26.59,1.15,25415.0,35.511337343822305,28.649200669564017,5.42,44.915,6.0,24.86,Fairly Valued
BRITANNIA,Britannia Industries Ltd,Consumer Staples,324745.74,63.91,4.26,33.95,1.88,3050.0,54.14869322506978,47.735597735597736,0.94,50.95,8.07,17.19,Fairly Valued
CANBK,Canara Bank,Financials,496415.88,36.74,12.61,25.23,3.81,13296.0,16.716051794688113,3.0948490094827803,2.68,33.57,7.225,24.325,Overvalued
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,971931.96,16.79,10.36,13.52,2.83,-38538.0,17.455213596692694,3.3666952254848512,-3.97,33.57,7.225,24.325,Fairly Valued
CIPLA,"Cipla Ltd
",Healthcare,439803.15,59.75,5.93,33.7,0.12,1152.0,15.554557028383137,67.603154227031,0.26,47.06,7.195,24.67,Fairly Valued
COALINDIA,Coal India Ltd,Materials,454024.84,34.27,14.75,25.15,4.38,13617.0,45.16982956605826,98.1670083918748,3.0,55.62,9.21,26.58,Fairly Valued
DABUR,Dabur India Ltd,Consumer Staples,56521.84,50.95,13.59,12.02,3.42,1042.0,18.355969997972835,17.816757189920754,1.84,50.95,8.07,17.19,Fairly Valued
DIVISLAB,Divis Laboratories Ltd,Healthcare,1615028.67,69.95,12.34,31.81,1.39,992.0,11.78984599513669,13.49639015765434,0.06,47.06,7.195,24.67,Overvalued
DLF,DLF Ltd,Real Estate,1381712.03,46.26,14.32,10.41,2.58,1010.0,6.908270142781061,4.464023494860499,0.07,49.105000000000004,10.985,22.369999999999997,Fairly Valued
DMART,Avenue Supermarts Ltd,Consumer Discretionary,3053088.97,72.53,11.71,36.84,1.94,278.0,13.56294790886726,17.49611197511664,0.01,38.005,8.065,26.455,Overvalued
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2441803.28,11.73,10.19,14.56,0.09,509.0,19.74233736816026,21.361052353252248,0.02,47.06,7.195,24.67,Fairly Valued
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,222391.83,15.62,13.61,19.29,4.41,890.0,22.172346910501524,20.20688908145581,0.4,38.005,8.065,26.455,Fairly Valued
GAIL,GAIL (India) Ltd,Energy,1531867.57,25.84,9.54,33.07,0.31,4360.0,12.86154006000234,10.772236337318176,0.28,44.915,6.0,24.86,Fairly Valued
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,1327797.2,33.59,8.07,23.55,3.09,-1365.0,-4.45308779171297,17.168141592920357,-0.1,50.95,8.07,17.19,Fairly Valued
GRASIM,Grasim Industries Ltd,Industrials,478951.82,79.35,5.68,15.23,0.98,-33833.0,11.196462612658342,9.82870403174378,-7.06,47.155,7.45,22.365000000000002,Fairly Valued
HAL,Hindustan Aeronautics Ltd,Industrials,2643616.86,71.89,3.65,8.76,2.77,1814.0,3816.582914572864,2590.993788819876,0.07,47.155,7.45,22.365000000000002,Fairly Valued
