company_id,revenue_cagr_3y,revenue_cagr_5y,revenue_cagr_10y,pat_cagr_3y,pat_cagr_5y,pat_cagr_10y,eps_cagr_3y,eps_cagr_5y,eps_cagr_10y
ABB,10.71,9.72,9.9,20.23,21.69,19.75,20.24,21.66,19.77
ADANIENSOL,18.72,17.85,,-2.49,16.43,,-3.13,14.87,
ADANIENT,34.6,19.02,5.78,47.18,45.81,2.34,51.83,31.95,3.42
ADANIGREEN,43.44,34.98,,90.59,,,91.29,,
ADANIPORTS,28.63,19.58,18.65,17.08,14.91,16.62,14.98,14.87,16.86
ADANIPOWER,24.29,16.09,12.63,154.07,,,162.07,,
AMBUJACEM,4.61,4.12,12.79,8.48,11.23,12.29,4.55,7.78,4.81
APOLLOHOSP,21.75,14.66,15.9,89.68,36.13,11.49,84.69,29.95,10.6
ASIANPAINT,17.8,13.03,11.25,20.12,20.28,15.97,19.98,20.97,15.93
ATGL,38.18,21.09,,13.0,23.88,,14.47,24.57,
AXISBANK,19.97,14.74,13.57,55.69,39.67,14.86,54.41,35.1,12.03
BAJAJ-AUTO,17.38,8.13,8.34,16.64,9.36,8.59,18.0,10.18,8.96
BAJAJFINSV,22.13,20.97,33.75,28.4,23.75,21.68,22.12,20.59,17.69
BAJAJHLDNG,55.01,31.61,14.94,26.32,19.3,13.99,25.8,18.97,13.82
BAJFINANCE,27.26,24.35,,48.42,29.32,,47.23,27.56,
BANKBARODA,16.79,17.48,11.33,126.68,74.51,14.12,128.94,55.18,4.58
BEL,12.83,10.75,12.01,23.8,16.13,15.39,18.56,10.76,17.46
BHARTIARTL,14.23,13.17,5.74,,38.36,10.98,,67.03,10.03
BHEL,11.34,-4.73,-4.92,,-22.4,-22.27,,-19.73,-20.57
BOSCHLTD,19.84,6.72,,72.87,9.28,,72.65,9.26,
BPCL,24.86,8.48,5.42,15.75,25.79,20.82,18.78,28.06,21.29
BRITANNIA,8.48,8.69,9.27,4.86,13.06,18.37,4.95,13.14,18.72
CANBK,16.3,18.18,10.82,73.34,85.78,19.14,61.98,53.42,5.45
CHOLAFIN,25.99,21.94,19.31,31.01,23.36,24.97,29.22,22.28,23.42
CIPLA,10.39,9.51,9.74,20.25,22.73,11.46,19.35,21.83,11.61
COALINDIA,16.49,7.4,7.26,43.29,16.43,9.48,42.68,16.85,9.78
DABUR,9.06,7.81,5.8,2.23,4.6,7.05,0.0,4.56,7.18
DIVISLAB,4.03,9.66,11.97,-6.92,3.41,7.55,-7.17,3.3,7.54
DLF,5.88,-5.14,-2.52,36.0,15.7,16.53,40.1,12.89,10.65
DMART,28.13,20.48,26.91,32.14,22.97,31.74,31.89,22.74,29.24
DRREDDY,13.72,12.64,7.64,41.91,23.39,11.01,42.82,23.84,11.28
EICHERMOT,23.78,11.04,6.59,43.75,12.68,19.01,43.9,12.51,20.3
GAIL,32.42,11.83,7.99,17.25,8.61,7.54,18.56,8.45,7.92
GODREJCP,8.52,6.45,6.37,,,,,,
GRASIM,19.68,11.15,16.54,12.42,29.31,12.89,10.5,27.73,6.81
HAL,9.91,8.71,7.22,32.85,26.49,10.92,33.42,26.64,15.07
