company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
TCS,2013,+,-,-,Reinvestment
TCS,2014,+,-,-,Reinvestment
TCS,2015,+,-,-,Reinvestment
TCS,2016,+,-,-,Reinvestment
TCS,2017,+,-,-,Reinvestment
TCS,2018,+,+,-,Shareholder Returns
TCS,2019,+,+,-,Shareholder Returns
TCS,2020,+,+,-,Shareholder Returns
TCS,2021,+,-,-,Reinvestment
TCS,2022,+,-,-,Reinvestment
TCS,2023,+,+,-,Shareholder Returns
TCS,2024,+,+,-,Shareholder Returns
ABB,2012,+,-,-,Reinvestment
ABB,2014,+,-,-,Reinvestment
ABB,2015,+,-,-,Reinvestment
ABB,2016,+,-,-,Reinvestment
ABB,2017,+,-,-,Reinvestment
ABB,2018,+,-,-,Reinvestment
ABB,2019,+,-,-,Reinvestment
ABB,2020,+,-,-,Reinvestment
ABB,2021,+,-,-,Reinvestment
ABB,2022,+,-,-,Reinvestment
ABB,2023,+,-,-,Reinvestment
ABB,2024,+,-,-,Reinvestment
ADANIENSOL,2014,0,0,0,Other
ADANIENSOL,2015,-,-,+,Debt Funded Growth
ADANIENSOL,2016,+,-,-,Reinvestment
ADANIENSOL,2017,+,-,-,Reinvestment
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2021,+,-,-,Reinvestment
ADANIENSOL,2022,+,-,-,Reinvestment
ADANIENSOL,2023,+,-,+,Mixed
ADANIENSOL,2024,+,-,-,Reinvestment
ADANIENT,2013,+,-,+,Mixed
ADANIENT,2014,+,-,-,Reinvestment
ADANIENT,2015,+,-,+,Mixed
ADANIENT,2016,+,-,-,Reinvestment
ADANIENT,2017,+,-,+,Mixed
ADANIENT,2018,+,-,+,Mixed
ADANIENT,2019,+,+,-,Shareholder Returns
ADANIENT,2020,+,-,-,Reinvestment
ADANIENT,2021,+,-,+,Mixed
ADANIENT,2022,+,-,+,Mixed
ADANIENT,2023,+,-,-,Reinvestment
ADANIENT,2024,+,-,+,Mixed
ADANIGREEN,2017,+,-,+,Mixed
ADANIGREEN,2018,+,-,+,Mixed
ADANIGREEN,2019,+,-,+,Mixed
ADANIGREEN,2020,+,-,+,Mixed
ADANIGREEN,2021,+,-,+,Mixed
ADANIGREEN,2022,+,-,+,Mixed
ADANIGREEN,2023,+,-,-,Reinvestment
ADANIGREEN,2024,+,-,+,Mixed
ADANIPORTS,2013,+,-,+,Mixed
ADANIPORTS,2014,+,-,+,Mixed
ADANIPORTS,2015,+,-,-,Reinvestment
ADANIPORTS,2016,+,-,+,Mixed
ADANIPORTS,2017,+,-,-,Reinvestment
ADANIPORTS,2018,+,-,-,Reinvestment
ADANIPORTS,2019,+,-,+,Mixed
ADANIPORTS,2020,+,-,-,Reinvestment
ADANIPORTS,2021,+,-,+,Mixed
ADANIPORTS,2022,+,-,-,Reinvestment
ADANIPORTS,2023,+,-,-,Reinvestment
ADANIPORTS,2024,+,-,-,Reinvestment
ADANIPOWER,2013,+,-,+,Mixed
ADANIPOWER,2014,+,-,+,Mixed
ADANIPOWER,2015,+,-,-,Reinvestment
ADANIPOWER,2016,+,-,-,Reinvestment
ADANIPOWER,2017,+,-,-,Reinvestment
ADANIPOWER,2018,+,-,-,Reinvestment
ADANIPOWER,2019,+,-,-,Reinvestment
ADANIPOWER,2020,+,-,-,Reinvestment
ADANIPOWER,2021,+,-,-,Reinvestment
ADANIPOWER,2022,+,+,-,Shareholder Returns
ADANIPOWER,2023,+,+,-,Shareholder Returns
ADANIPOWER,2024,+,+,-,Shareholder Returns
AMBUJACEM,2012,+,-,-,Reinvestment
AMBUJACEM,2013,+,-,-,Reinvestment
AMBUJACEM,2014,+,-,-,Reinvestment
AMBUJACEM,2015,+,-,-,Reinvestment
AMBUJACEM,2016,+,-,-,Reinvestment
AMBUJACEM,2017,+,-,-,Reinvestment
AMBUJACEM,2018,+,-,-,Reinvestment
AMBUJACEM,2019,+,-,-,Reinvestment
AMBUJACEM,2020,+,-,-,Reinvestment
AMBUJACEM,2021,+,-,-,Reinvestment
AMBUJACEM,2023,+,-,+,Mixed
AMBUJACEM,2024,+,-,+,Mixed
APOLLOHOSP,2013,+,-,+,Mixed
APOLLOHOSP,2014,+,-,-,Reinvestment
APOLLOHOSP,2015,+,-,+,Mixed
APOLLOHOSP,2016,+,-,+,Mixed
APOLLOHOSP,2017,+,-,+,Mixed
APOLLOHOSP,2018,+,-,-,Reinvestment
APOLLOHOSP,2019,+,-,-,Reinvestment
APOLLOHOSP,2020,+,-,-,Reinvestment
APOLLOHOSP,2021,+,-,-,Reinvestment
APOLLOHOSP,2022,+,-,-,Reinvestment
APOLLOHOSP,2023,+,-,-,Reinvestment
APOLLOHOSP,2024,+,-,-,Reinvestment
ASIANPAINT,2013,+,-,-,Reinvestment
ASIANPAINT,2014,+,-,-,Reinvestment
ASIANPAINT,2015,+,-,-,Reinvestment
ASIANPAINT,2016,+,-,-,Reinvestment
ASIANPAINT,2017,+,-,-,Reinvestment
ASIANPAINT,2018,+,-,-,Reinvestment
ASIANPAINT,2019,+,-,-,Reinvestment
ASIANPAINT,2020,+,-,-,Reinvestment
ASIANPAINT,2021,+,-,-,Reinvestment
ASIANPAINT,2022,+,-,-,Reinvestment
ASIANPAINT,2023,+,-,-,Reinvestment
ASIANPAINT,2024,+,-,-,Reinvestment
ATGL,2018,+,-,+,Mixed
ATGL,2019,+,+,-,Shareholder Returns
ATGL,2020,+,-,-,Reinvestment
ATGL,2021,+,-,+,Mixed
ATGL,2022,+,-,+,Mixed
ATGL,2023,+,-,+,Mixed
ATGL,2024,+,-,-,Reinvestment
AXISBANK,2013,+,-,+,Mixed
AXISBANK,2014,+,-,+,Mixed
AXISBANK,2015,-,-,+,Debt Funded Growth
AXISBANK,2016,-,+,+,Distress
AXISBANK,2017,+,-,-,Reinvestment
AXISBANK,2018,-,-,+,Debt Funded Growth
AXISBANK,2019,+,-,+,Mixed
AXISBANK,2020,+,-,+,Mixed
AXISBANK,2021,+,-,+,Mixed
AXISBANK,2022,+,-,+,Mixed
AXISBANK,2023,+,-,+,Mixed
AXISBANK,2024,-,-,+,Debt Funded Growth
BAJAJ-AUTO,2013,+,-,-,Reinvestment
BAJAJ-AUTO,2014,+,-,-,Reinvestment
BAJAJ-AUTO,2015,+,-,-,Reinvestment
BAJAJ-AUTO,2016,+,-,-,Reinvestment
BAJAJ-AUTO,2017,+,-,-,Reinvestment
BAJAJ-AUTO,2018,+,-,-,Reinvestment
BAJAJ-AUTO,2019,+,-,-,Reinvestment
BAJAJ-AUTO,2020,+,+,-,Shareholder Returns
BAJAJ-AUTO,2021,+,-,-,Reinvestment
BAJAJ-AUTO,2022,+,+,-,Shareholder Returns
BAJAJ-AUTO,2023,+,+,-,Shareholder Returns
BAJAJ-AUTO,2024,+,-,-,Reinvestment
BAJAJFINSV,2013,-,+,+,Distress
BAJAJFINSV,2014,-,+,+,Distress
BAJAJFINSV,2015,-,+,+,Distress
BAJAJFINSV,2016,-,-,+,Debt Funded Growth
BAJAJFINSV,2017,-,+,+,Distress
BAJAJFINSV,2018,-,-,+,Debt Funded Growth
BAJAJFINSV,2019,-,-,+,Debt Funded Growth
BAJAJFINSV,2020,-,-,+,Debt Funded Growth
BAJAJFINSV,2021,+,-,+,Mixed
BAJAJFINSV,2022,-,+,+,Distress
BAJAJFINSV,2023,-,-,+,Debt Funded Growth
BAJAJFINSV,2024,-,-,+,Debt Funded Growth
BAJAJHLDNG,2013,+,-,-,Reinvestment
BAJAJHLDNG,2014,+,-,-,Reinvestment
BAJAJHLDNG,2015,+,-,-,Reinvestment
BAJAJHLDNG,2016,+,+,-,Shareholder Returns
BAJAJHLDNG,2017,-,-,-,Pre-Revenue
BAJAJHLDNG,2018,+,-,-,Reinvestment
BAJAJHLDNG,2019,+,-,-,Reinvestment
BAJAJHLDNG,2020,+,-,-,Reinvestment
BAJAJHLDNG,2021,+,-,-,Reinvestment
BAJAJHLDNG,2022,+,-,-,Reinvestment
BAJAJHLDNG,2023,+,-,-,Reinvestment
BAJAJHLDNG,2024,+,-,-,Reinvestment
BAJFINANCE,2015,-,-,+,Debt Funded Growth
BAJFINANCE,2016,-,-,+,Debt Funded Growth
BAJFINANCE,2017,-,-,+,Debt Funded Growth
BAJFINANCE,2018,-,+,+,Distress
BAJFINANCE,2019,-,-,+,Debt Funded Growth
BAJFINANCE,2020,-,-,+,Debt Funded Growth
BAJFINANCE,2021,-,-,+,Debt Funded Growth
BAJFINANCE,2022,-,+,+,Distress
BAJFINANCE,2023,-,-,+,Debt Funded Growth
BAJFINANCE,2024,-,-,+,Debt Funded Growth
BANKBARODA,2013,+,-,-,Reinvestment
BANKBARODA,2014,+,-,+,Mixed
BANKBARODA,2015,+,-,-,Reinvestment
BANKBARODA,2016,-,-,-,Pre-Revenue
BANKBARODA,2017,+,-,-,Reinvestment
BANKBARODA,2018,-,-,+,Debt Funded Growth
BANKBARODA,2019,-,-,+,Debt Funded Growth
BANKBARODA,2020,+,-,+,Mixed
BANKBARODA,2021,-,-,-,Pre-Revenue
BANKBARODA,2022,+,-,-,Reinvestment
BANKBARODA,2023,-,-,-,Pre-Revenue
BANKBARODA,2024,-,-,+,Debt Funded Growth
BEL,2013,-,+,-,Mixed
BEL,2014,-,+,-,Mixed
BEL,2015,+,-,-,Reinvestment
BEL,2016,+,-,-,Reinvestment
BEL,2017,-,+,-,Mixed
