company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,cashflow_quality,cashflow_status
VBL,2023,2391.0,-3288.0,985.0,88.0,-897.0,0.56,Positive
ABB,2024,1213.0,-416.0,-745.0,52.0,797.0,1.04,Positive
ADANIENSOL,2024,6038.0,-4943.0,-543.0,551.0,1095.0,1.1,Positive
ADANIENT,2024,10312.0,-18767.0,8879.0,424.0,-8455.0,0.37,Positive
ADANIGREEN,2024,7713.0,-21060.0,13953.0,606.0,-13347.0,0.22,Positive
ADANIPORTS,2024,15018.0,-6768.0,-7800.0,450.0,8250.0,1.03,Positive
ADANIPOWER,2024,14170.0,3481.0,-16864.0,787.0,17651.0,0.7,Positive
AMBUJACEM,2024,5646.0,-8941.0,5689.0,2394.0,-3295.0,0.39,Positive
APOLLOHOSP,2024,1920.0,-1537.0,-311.0,72.0,383.0,1.04,Positive
ASIANPAINT,2024,6104.0,-2548.0,-2982.0,573.0,3556.0,1.1,Positive
ATGL,2024,955.0,-752.0,-78.0,125.0,203.0,1.15,Positive
AXISBANK,2024,-5555.0,-9001.0,22341.0,7785.0,-14556.0,-0.18,Negative
BAJAJ-AUTO,2024,6558.0,-72.0,-6167.0,319.0,6486.0,1.05,Positive
BAJAJFINSV,2024,-68674.0,-10960.0,82709.0,3075.0,-79634.0,-0.73,Negative
BAJAJHLDNG,2024,1941.0,-472.0,-1455.0,14.0,1469.0,1.01,Positive
BAJFINANCE,2024,-72760.0,-7171.0,82415.0,2484.0,-79931.0,-0.81,Negative
BANKBARODA,2024,-6274.0,-1285.0,5476.0,-2084.0,-7559.0,-0.93,Negative
BEL,2024,4659.0,-5924.0,-1475.0,-2739.0,-1265.0,0.63,Positive
BHARTIARTL,2024,78898.0,-51089.0,-27778.0,31.0,27809.0,1.0,Positive
BHEL,2024,-3713.0,1331.0,2656.0,274.0,-2382.0,-0.93,Negative
BOSCHLTD,2024,1253.0,283.0,-1452.0,84.0,1536.0,0.72,Positive
BPCL,2024,35936.0,-10521.0,-25427.0,-12.0,25415.0,1.0,Positive
BRITANNIA,2024,2573.0,477.0,-2830.0,219.0,3050.0,0.78,Positive
CANBK,2024,15046.0,-1750.0,-3834.0,9462.0,13296.0,2.69,Positive
