id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,broad_sector,net_profit_margin,operating_profit_margin,roe,ebit,roce,roa,debt_to_equity,interest_coverage,net_debt,asset_turnover,debt_free,high_leverage_flag
61,ABB,2012,1653,1451,202.0,12.22,33,0,19,215,33.0,145,68.0,25.0,136,21.0,626,0,260,907,109,1,0,798,907,Industrials,8.771929824561402,12.220205686630369,22.411128284389488,183.0,28.284389489953632,15.986769570011026,0.0,,0,1.822491730981257,Yes,False
62,ABB,2014,2276,2009,267.0,11.73,49,0,22,295,33.0,198,93.0,25.0,137,21.0,767,0,351,1139,98,1,0,1040,1139,Industrials,8.699472759226714,11.731107205623902,25.12690355329949,245.0,31.091370558375637,17.383669885864794,0.0,,0,1.9982440737489024,Yes,False
63,ABB,2015,2289,1977,312.0,13.63,48,0,15,344,34.0,229,108.0,29.0,138,21.0,916,0,436,1374,96,4,0,1274,1374,Industrials,10.004368719965049,13.630406290956751,24.439701173959445,297.0,31.696905016008536,16.666666666666664,0.0,,0,1.665938864628821,Yes,False
64,ABB,2016,2614,2250,365.0,13.96,50,3,14,398,36.0,255,120.0,29.0,139,21.0,1174,0,421,1616,108,3,0,1505,1616,Industrials,9.755164498852334,13.963274674827849,21.338912133891213,351.0,29.372384937238493,15.77970297029703,0.0,138.33333333333334,0,1.6175742574257426,Yes,False
65,ABB,2017,2903,2505,398.0,13.71,57,2,16,436,37.0,277,130.0,31.0,140,21.0,1366,0,679,2066,110,6,0,1950,2066,Industrials,9.541853255253187,13.709955218739237,19.971160778658977,382.0,27.54145638067772,13.407550822846078,0.0,227.5,0,1.40513068731849,Yes,False
66,ABB,2018,3298,2774,525.0,15.92,117,4,16,621,35.0,401,189.0,29.0,141,21.0,1672,0,723,2416,81,2,0,2333,2416,Industrials,12.15888417222559,15.918738629472406,23.685764914353218,509.0,30.06497341996456,16.5976821192053,0.0,160.5,0,1.365066225165563,Yes,False
67,ABB,2019,3679,3074,605.0,16.44,113,2,17,699,36.0,450,212.0,31.0,142,21.0,1987,0,932,2941,105,1,0,2835,2941,Industrials,12.231584669747214,16.444686055993476,22.410358565737052,588.0,29.282868525896415,15.300918055083304,0.0,359.0,0,1.2509350561033663,Yes,False
68,ABB,2020,4093,3336,757.0,18.49,114,9,60,803,26.0,593,279.0,90.0,143,21.0,2410,175,940,3547,270,2,0,3275,3547,Industrials,14.488150500855118,18.49499144881505,24.39325380501851,697.0,26.74597083653108,16.718353538201296,0.07198683669271905,96.77777777777777,175,1.153932901043135,No,False
69,ABB,2021,4310,3388,922.0,21.39,81,18,58,926,25.0,691,325.0,85.0,144,21.0,2581,153,1086,3840,251,1,0,3589,3840,Industrials,16.03248259860789,21.392111368909514,26.5564950038432,864.0,31.361161524500908,17.994791666666668,0.058800922367409685,55.72222222222222,153,1.1223958333333333,No,False
70,ABB,2022,4913,3832,1082.0,22.02,83,19,66,1080,26.0,799,376.0,73.0,145,21.0,2799,152,1253,4224,271,1,0,3952,4224,Industrials,16.26297577854671,22.023203745165887,28.333333333333332,1016.0,34.185733512786,18.915719696969695,0.05390070921985816,61.31578947368421,152,1.1631155303030303,No,False
71,ABB,2023,5349,4143,1206.0,22.55,154,16,70,1274,25.0,949,447.0,73.0,146,21.0,3167,113,1254,4556,237,4,0,4315,4556,Industrials,17.74163395027108,22.546270330902974,29.767879548306148,1136.0,34.413813995758865,20.82967515364355,0.03544542032622334,85.0,113,1.1740561896400352,No,False
72,ABB,2024,5849,4396,1453.0,24.84,248,12,71,1618,26.0,1201,565.0,73.0,147,21.0,3678,83,1411,5193,225,10,0,4958,5193,Industrials,20.533424517011454,24.84185330825782,32.46823465801568,1382.0,36.541512427287145,23.127286732139417,0.022438496891051634,141.75,83,1.1263238975544,No,False
86,ADANIENSOL,2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,149,0.1,0,0,0,0,0,0,0,0,0,Energy,,,0.0,0.0,0.0,,0.0,,0,,Yes,False
87,ADANIENSOL,2015,131,29,101.0,77.1,3,73,37,-5,34.0,-7,0.0,0.0,150,1090.0,-7,9701,708,11492,10573,10,0,909,11492,Energy,-5.343511450381679,77.09923664122137,-0.6463527239150507,64.0,0.5934718100890208,-0.06091193873999304,8.95752539242844,1.4246575342465753,9701,0.011399234249912982,No,True
88,ADANIENSOL,2016,2194,267,1927.0,87.83,70,957,560,480,23.0,368,3.0,0.0,151,1100.0,1572,8585,489,11746,10060,258,20,1407,11746,Energy,16.773017319963536,87.83044667274385,13.77245508982036,1367.0,12.143555121257885,3.1329814404903797,3.2129491017964074,2.0867293625914316,8565,0.18678699131619275,No,False
89,ADANIENSOL,2017,2876,893,1983.0,68.95,22,904,569,532,22.0,416,4.0,0.0,152,1100.0,1847,8975,890,12811,9853,1343,105,1510,12811,Energy,14.464534075104313,68.94993045897078,14.116050220563285,1414.0,11.860426103002853,3.2472094293966123,3.045469969460468,2.2179203539823007,8870,0.22449457497463118,No,False
90,ADANIENSOL,2018,3944,1118,2826.0,71.65,111,886,579,1472,22.0,1143,10.0,0.0,153,1100.0,4957,10428,781,17265,9291,2353,0,5621,17265,Energy,28.98073022312373,71.65314401622717,18.87072808320951,2247.0,13.630573248407643,6.620330147697655,1.7216443784051512,3.31489841986456,10428,0.22843903851723138,No,False
91,ADANIENSOL,2019,7305,4528,2778.0,38.03,336,1391,882,840,33.0,559,5.0,0.0,154,1100.0,6943,20137,4379,32558,24412,694,336,7117,32558,Energy,7.652292950034223,38.02874743326489,6.950142981474575,1896.0,6.728176011355572,1.716935929725413,2.50366778565212,2.2386772106398274,19801,0.2243688187235088,No,False
92,ADANIENSOL,2020,11416,7158,4258.0,37.3,261,2238,1174,1107,36.0,706,7.0,0.0,155,1100.0,7399,24246,6966,39711,24924,2212,313,12262,39711,Energy,6.184302733006307,37.29852838121934,8.30685963054477,3084.0,9.418231791113147,1.7778449296164793,2.8528062124955875,2.019213583556747,23933,0.2874770214801944,No,False
93,ADANIENSOL,2021,9926,5976,3950.0,39.79,1115,2117,1329,1620,20.0,1290,11.0,0.0,156,1100.0,7819,27095,7219,43234,26987,5255,442,10550,43234,Energy,12.996171670360667,39.79447914567802,14.46350487722839,2621.0,7.277725329038708,2.9837627792940737,3.0378966251821953,2.3925366084081245,26653,0.22958782439746495,No,False
94,ADANIENSOL,2022,11258,7051,4206.0,37.36,1286,2365,1427,1700,27.0,1236,11.0,0.0,157,1100.0,8813,29902,7650,47464,30272,5060,561,11572,47464,Energy,10.978859477704743,37.360099484810796,12.46847573892868,2779.0,6.979781489388421,2.604078880836002,3.016443054574801,2.3221987315010573,29341,0.23719029158941513,No,False
95,ADANIENSOL,2023,13293,8775,4518.0,33.99,1583,2781,1608,1712,25.0,1281,11.0,0.0,158,1115.0,10634,34270,7913,53932,32645,6200,1370,13716,53932,Energy,9.636650868878357,33.98781313473256,10.90305557919823,2910.0,6.323475086377366,2.3752132314766743,2.916843986722274,2.193815174397699,32900,0.24647704516798932,No,False
96,ADANIENSOL,2024,16607,10896,5711.0,34.39,611,2767,1776,1780,33.0,1196,10.0,0.0,159,1115.0,11526,37070,8827,58538,38920,3003,766,15849,58538,Energy,7.201782380923707,34.38911302462817,9.461276797721698,3935.0,7.915753052644284,2.043117291332126,2.93252116130053,2.284784965666787,36304,0.2836960606785336,No,False
98,ADANIENT,2013,46375,40354,6021.0,12.98,1775,3492,2298,2005,39.0,1218,15.0,10.0,170,110.0,21286,69332,21143,111871,48770,29248,323,33529,111871,Industrials,2.6264150943396225,12.983288409703503,5.692652832305104,3723.0,4.103474120447932,1.0887540113166057,3.240418769863526,2.2325315005727377,69009,0.41453996120531683,No,False
99,ADANIENT,2014,54947,45564,9383.0,17.08,1157,5703,3223,1614,-64.0,2646,20.0,7.0,171,110.0,23647,71980,22365,118102,70579,13574,288,33661,118102,Industrials,4.815549529546654,17.07645549347553,11.1377699204445,6160.0,6.434293951136969,2.240436233086654,3.0298438355011155,1.84815009644047,71692,0.4652503767929417,No,False
100,ADANIENT,2015,64465,52015,12450.0,19.31,792,7056,3522,2663,14.0,2298,18.0,8.0,172,110.0,25618,83571,21420,130718,83834,6733,744,39407,130718,Industrials,3.564725044597844,19.312805398278137,8.931902985074627,8928.0,8.168418741251065,1.757982833274683,3.248250932835821,1.876700680272109,82827,0.4931608500742055,No,False
101,ADANIENT,2016,34008,32325,1684.0,4.95,1044,1357,314,1056,7.0,1000,9.0,4.0,173,110.0,13268,19169,9132,41679,10473,7705,805,22696,41679,Industrials,2.9404845918607387,4.951776052693484,7.4749588877261175,1370.0,4.2092973238700955,2.399289810216176,1.4328748691882194,2.0103168754605747,18364,0.8159504786583172,No,False
