company_id,year,edge_case,reason
ABB,2012,Interest = 0,Interest Coverage
ABB,2014,Interest = 0,Interest Coverage
ABB,2015,Interest = 0,Interest Coverage
ADANIENSOL,2014,Sales = 0,Net Profit Margin / Operating Profit Margin
ADANIENSOL,2014,Interest = 0,Interest Coverage
BAJAJHLDNG,2013,Interest = 0,Interest Coverage
BAJAJHLDNG,2014,Interest = 0,Interest Coverage
BAJAJHLDNG,2015,Interest = 0,Interest Coverage
BAJAJHLDNG,2016,Interest = 0,Interest Coverage
BAJAJHLDNG,2017,Interest = 0,Interest Coverage
BAJAJHLDNG,2018,Interest = 0,Interest Coverage
BAJAJHLDNG,2019,Interest = 0,Interest Coverage
BOSCHLTD,2013,Interest = 0,Interest Coverage
CHOLAFIN,2015,Interest = 0,Interest Coverage
CHOLAFIN,2018,Interest = 0,Interest Coverage
CHOLAFIN,2020,Interest = 0,Interest Coverage
ICICIGI,2016,Interest = 0,Interest Coverage
ICICIPRULI,2016,Interest = 0,Interest Coverage
INFY,2016,Interest = 0,Interest Coverage
INFY,2017,Interest = 0,Interest Coverage
INFY,2018,Interest = 0,Interest Coverage
INFY,2019,Interest = 0,Interest Coverage
IRCTC,2015,Interest = 0,Interest Coverage
IRCTC,2016,Interest = 0,Interest Coverage
JIOFIN,2023,Interest = 0,Interest Coverage
LICI,2019,Interest = 0,Interest Coverage
LICI,2020,Interest = 0,Interest Coverage
LICI,2021,Interest = 0,Interest Coverage
LICI,2022,Interest = 0,Interest Coverage
SBILIFE,2020,Interest = 0,Interest Coverage
SBILIFE,2021,Interest = 0,Interest Coverage
SBILIFE,2022,Interest = 0,Interest Coverage
